1,1,IndiGo,24/03/2019,Banglore,New Delhi,BLR â†?DEL,22:20,2023/3/22 1:10,2h 50m,non-stop,No info,3897,2196
2,2,Air India,01/05/2019,Kolkata,Banglore,CCU â†?IXR â†?BBI â†?BLR,5:50,13:15,7h 25m,2 stops,No info,7662,2196
3,3,Jet Airways,09/06/2019,Delhi,Cochin,DEL â†?LKO â†?BOM â†?COK,9:25,2023/6/10 4:25,19h,2 stops,No info,13882,2073
4,4,IndiGo,12/05/2019,Kolkata,Banglore,CCU â†?NAG â†?BLR,18:05,23:30,5h 25m,1 stop,No info,6218,2196
5,5,IndiGo,01/03/2019,Banglore,New Delhi,BLR â†?NAG â†?DEL,16:50,21:35,4h 45m,1 stop,No info,13302,2196
6,6,SpiceJet,24/06/2019,Kolkata,Banglore,CCU â†?BLR,9:00,11:25,2h 25m,non-stop,No info,3873,2196
7,7,Jet Airways,12/03/2019,Banglore,New Delhi,BLR â†?BOM â†?DEL,18:55,2023/3/13 10:25,15h 30m,1 stop,In-flight meal not included,11087,2196
8,8,Jet Airways,01/03/2019,Banglore,New Delhi,BLR â†?BOM â†?DEL,8:00,2023/3/2 5:05,21h 5m,1 stop,No info,22270,2196
9,9,Jet Airways,12/03/2019,Banglore,New Delhi,BLR â†?BOM â†?DEL,8:55,2023/3/13 10:25,25h 30m,1 stop,In-flight meal not included,11087,2196
10,10,Multiple carriers,27/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,11:25,19:15,7h 50m,1 stop,No info,8625,2073
11,11,Air India,01/06/2019,Delhi,Cochin,DEL â†?BLR â†?COK,9:45,23:00,13h 15m,1 stop,No info,8907,2073
12,12,IndiGo,18/04/2019,Kolkata,Banglore,CCU â†?BLR,20:20,22:55,2h 35m,non-stop,No info,4174,2196
13,13,Air India,24/06/2019,Chennai,Kolkata,MAA â†?CCU,11:40,13:55,2h 15m,non-stop,No info,4667,1355
14,14,Jet Airways,09/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,21:10,2023/5/10 9:20,12h 10m,1 stop,In-flight meal not included,9663,2196
15,15,IndiGo,24/04/2019,Kolkata,Banglore,CCU â†?BLR,17:15,19:50,2h 35m,non-stop,No info,4804,2196
16,16,Air India,03/03/2019,Delhi,Cochin,DEL â†?AMD â†?BOM â†?COK,16:40,2023/3/4 19:15,26h 35m,2 stops,No info,14011,2073
